ferrGene	lncRNA	cor	pvalue	Regulation
ISCU	LINC00963	0.410177699024509	3.58243739461446e-14	postive
MUC1	AC073389.1	0.587523550436756	1.57586885779356e-30	postive
TRIB3	AC073389.1	0.421621065990411	5.79213985925877e-15	postive
PHKG2	AC073389.1	0.506229032068718	7.7130492136668e-22	postive
TUBE1	AC008982.2	0.406549878076418	6.2923851768979e-14	postive
HELLS	AC024075.2	0.421017704536208	6.38732841781165e-15	postive
ISCU	AC024075.2	0.494221508272514	9.61538618487233e-21	postive
TUBE1	AC024075.2	0.403324567109602	1.03235716723979e-13	postive
ELAVL1	AC024075.2	0.438452339950928	3.49115958651164e-16	postive
NOX1	AC024075.2	0.406031281610817	6.81623075442233e-14	postive
PHKG2	AC024075.2	0.40079482995461	1.51654431217088e-13	postive
ATG4D	AC024075.2	0.522606694857071	2.09472213702601e-23	postive
PEBP1	AC024075.2	0.426024023549062	2.82005980089069e-15	postive
MYB	AC024075.2	0.449554415760111	5.01722371657074e-17	postive
HIC1	LINC02544	0.485411230776083	5.75334961939417e-20	postive
NOX4	LINC02544	0.490815890449512	1.93180290750605e-20	postive
PROM2	STEAP3-AS1	0.506799224269702	6.82511981968142e-22	postive
STEAP3	STEAP3-AS1	0.514199392532355	1.36656812343167e-22	postive
MIOX	Z98257.1	0.404800552401427	8.23610623495161e-14	postive
HELLS	AC102953.2	0.404688485517019	8.37891925410887e-14	postive
FADS2	AC102953.2	0.409939634945802	3.71811801150743e-14	postive
DRD4	AC102953.2	0.418918050521143	8.96366831559182e-15	postive
MYB	AC102953.2	0.51737512063257	6.77048135608821e-23	postive
AKR1C1	SNHG10	0.401721789803821	1.31770256492278e-13	postive
AKR1C3	SNHG10	0.43163707630746	1.10944208300142e-15	postive
GCLC	SNHG10	0.401744164603362	1.31323280915201e-13	postive
ATF4	SNHG10	0.489591432683543	2.47786556231488e-20	postive
SELENOS	SNHG10	0.411449045914756	2.93591440760756e-14	postive
ZNF419	SNHG10	0.410852515336796	3.22363199120222e-14	postive
TUBE1	SNHG10	0.416145999718072	1.39706043344714e-14	postive
RPL8	SNHG10	0.401021501582355	1.46536884635783e-13	postive
PHKG2	SNHG10	0.548329908048048	4.82111455793625e-26	postive
