gene	conMean	treatMean	logFC	pValue	fdr
SLC7A11	1.5236510525	5.88651398098726	1.94988098294431	0.000693346269414494	0.00137419981325395
SLC3A2	33.5446609375	80.6332097770701	1.26529099150803	6.95682246572635e-15	3.82625235614949e-13
HELLS	0.7566228234375	1.98587506815287	1.39212866457091	4.92906564015982e-10	3.73929117529366e-09
PML	7.5253041875	16.2272205923567	1.10859411069594	1.87825043408745e-09	1.11679755540335e-08
TP63	30.42068384375	70.2636698013057	1.20772634446499	1.15825532102936e-09	7.72170214019573e-09
CBS	0.02012159221875	0.0763679320254777	1.92422248745609	0.00134749788374999	0.00249117255819326
LINC00336	0.0076388855625	0.0325206455509554	2.08992181205571	0.0107435357915489	0.0164137352370886
HIF1A	33.7502521875	68.2588989171975	1.01611886028125	8.2574549046974e-09	4.02715070633674e-08
CA9	0.2756109221875	22.5371015588535	6.35352511400876	4.68020321530008e-18	5.14822353683009e-16
PLIN2	9.856252940625	4.47634618407643	-1.13871766699963	0.00284453628114107	0.00492754316418138
ZFP36	331.2094540625	145.772798025478	-1.18402232353779	2.97640455811494e-07	1.00739846582352e-06
CAV1	25.38317784375	113.950145850318	2.16645816755716	4.20765693110069e-12	5.44520308730678e-11
PTGS2	3.039512221875	12.2228846245223	2.00767307918894	0.00172248937700255	0.0031061283847587
DUSP1	338.1345934375	163.78388133758	-1.04580423890151	5.49817891552146e-07	1.77882259031577e-06
NCF2	4.34218740625	12.3004963375796	1.50222263267886	2.61852882957906e-12	3.84050895004929e-11
MT3	0.928001851875	0.125488599079618	-2.88657138627424	7.78254774010844e-07	2.34542534633405e-06
TXNRD1	8.63972815625	17.8922868821656	1.05027997088969	0.000236883019958327	0.000505963731949825
ANGPTL7	2.18592951634375	0.27244362506051	-3.0042172445052	8.42040602234046e-09	4.02715070633674e-08
DDIT4	43.4573530625	97.8311082165605	1.17069298024361	2.77794268069761e-07	9.54917796489804e-07
ASNS	3.31674525	7.15735583312102	1.10965849908684	8.37452934099162e-07	2.48972493921372e-06
DDIT3	6.2732649375	12.8372152420382	1.03304387662729	2.07456527025276e-05	5.63462172167416e-05
SLC1A4	7.558104296875	16.280359843949	1.10703625567837	5.84043134642872e-08	2.47095172348907e-07
GPT2	19.5591653125	7.4655227388535	-1.38952961749767	6.46439918644506e-15	3.82625235614949e-13
SLC7A5	58.9774813125	152.878039184713	1.37414506231414	1.54555393770934e-09	9.82722782720555e-09
TRIB3	3.39104825625	8.81416894745223	1.37809323528874	2.91987281220579e-10	2.5694880747411e-09
VEGFA	4.06289378125	9.27495334713376	1.19083237722733	5.31862705495576e-08	2.34019590418053e-07
RGS4	0.3294985353125	2.36948582372611	2.84623007228142	1.20835782883521e-12	2.04491324879805e-11
CXCL2	11.23324619375	4.48451956898089	-1.32474955813291	0.0183310972564844	0.0263584404995201
TF	11.140443041875	0.762120111203822	-3.86964441141172	3.42384967375723e-14	9.41558660283238e-13
TFRC	11.8443421875	30.6524415414013	1.3718039164237	5.04856486225947e-08	2.26670259121854e-07
IL33	14.458704375	4.96978229688535	-1.54068371961867	3.09989810577309e-10	2.62299070488492e-09
DRD5	0.01128007071875	0.126998193869427	3.4929599619204	8.11948806813895e-08	3.31888986037614e-07
DRD4	0.17941465875	0.557077162898089	1.63457940677913	2.28904969233879e-06	6.71454576419378e-06
SLC2A1	53.0003885	231.631140751592	2.12775438393678	4.68605966845342e-14	1.14548125228861e-12
SLC2A6	0.6218688928125	2.81641938694268	2.1791798211303	2.88326296669214e-14	9.41558660283238e-13
SLC2A14	0.0140755035625	0.0552421418057325	1.97258271893195	0.000326379756033147	0.00067739194648389
ALOX12	21.5092352875	4.4462597566879	-2.2742920937009	0.000267910815567239	0.000561336946902786
ALOX15	4.0952011446875	0.72150736616242	-2.50484828573773	0.000181945875764077	0.000404324168364616
PLIN4	13.813627490625	0.708772168050955	-4.28462646069476	3.14216964134329e-14	9.41558660283238e-13
STMN1	10.95837934375	28.9652263216561	1.40228748657381	2.00817095514485e-12	3.15569721522762e-11
RRM2	7.20851710625	19.7416668630573	1.45346939473573	1.08615684206772e-11	1.25765529081525e-10
HNF4A	0.0083791185	0.0312329979968153	1.89820067497178	5.62467784870673e-05	0.000142233232955802
NGB	0.03255737465625	0.78768264794586	4.59655822043455	0.000125313406852188	0.000290199468499804
AURKA	2.49982429375	11.6112151273885	2.21562035962312	2.20567021068602e-18	4.85247446350924e-16
NOX4	0.24013456	0.934151320987261	1.95981321747538	1.15828567053396e-11	1.27411423758736e-10
NOX5	0.033490269	0.13131548893949	1.97122322600136	1.04450926453014e-07	3.96193169304536e-07
TFR2	0.1629835521875	0.413970965541401	1.34480320641322	0.00084827801569461	0.00163702774958609
GOT1	47.14188375	21.2700105796178	-1.14818865773009	1.05089694102049e-08	4.91909206435123e-08
EGFR	14.2634638125	39.5940670477707	1.47295989084615	5.88137094965014e-07	1.84843086989004e-06
BID	3.838593125	8.66063837579618	1.173895721367	1.20737503662737e-10	1.15488046981748e-09
CDKN2A	0.8534580096875	9.91084695775796	3.53761627280364	0.00024035000540017	0.000508432703731129
SOCS1	2.92233715	9.67268641401274	1.72679399640151	8.62788808413763e-13	1.5817794820919e-11
CDO1	1.655611584375	0.451728651538217	-1.87383592151211	3.06089168115153e-09	1.64242968256911e-08
LINC00472	0.17752809015625	0.0434729177611465	-2.02985848640657	0.000101128513726979	0.000241829054564515
PRKAA2	3.00572079053125	0.508558734044586	-2.56322469230548	4.17533746704378e-10	3.40212682499864e-09
ABCC1	10.11712650625	22.8743556942675	1.17693151729347	5.72035235259454e-08	2.46760297562902e-07
TGFBR1	6.37136403125	13.131676410828	1.04337693069091	3.99252110593258e-12	5.44520308730678e-11
IFNG	0.172299304375	0.615106853726115	1.83592017404793	8.34227695034558e-05	0.000203922325452892
LPIN1	4.689708375	1.61469207898089	-1.53823914304413	2.30701749693437e-11	2.30701749693437e-10
MIOX	0.01319664503125	0.257405090124204	4.285797476275	6.27833682647859e-07	1.9454001434159e-06
PANX1	8.96232159375	18.4542144235669	1.04200592432615	2.38650814093206e-09	1.31257947751263e-08
