gene	conMean	treatMean	logFC	pValue	fdr
LINC02544	0.1576529658125	0.71731943143949	2.18586340174593	2.83378291430007e-10	4.44322628742178e-09
STEAP3-AS1	0.060323718875	0.29424469911465	2.2862191483751	7.68081350651753e-08	5.98320695444009e-07
Z98257.1	0.04271108178125	0.251450140003185	2.55759001271956	6.0968956128194e-08	4.81064731256653e-07
DDX59-AS1	0.11370405371875	0.238764837130573	1.07030669734489	0.000283559209172516	0.000789961077034139
AC018695.6	0.2182151826875	1.20222589129299	2.46188460737997	1.1448797354686e-12	3.78429166615702e-11
LINC02345	0.1344530446875	0.278169750449045	1.04886311724214	9.6037269714623e-07	5.54026324815962e-06
MIR31HG	1.2625781528125	4.1443589225414	1.7147762605908	6.09741142190313e-06	2.77474427413273e-05
AC091563.1	7.64152374990625	0.980155821894904	-2.96277731860873	4.55149702261276e-16	4.6387340488795e-14
AC011461.1	0.08298811059375	0.24136134261465	1.54021806018328	6.72151337522045e-07	4.05243337389741e-06
LINC01932	0.22065787609375	0.54578481393949	1.30652100990144	9.94846175893229e-06	4.3145279188561e-05
AC005393.1	2.4000519143125	0.31637281143949	-2.92336808497518	0.0139106550945175	0.0244085095847847
AL583785.1	0.97387052909375	0.351698304589172	-1.46939160615774	1.10367925327109e-05	4.71957946416274e-05
LINC02878	0.0965555969375	0.283677290875796	1.55481886973656	5.36394881329729e-09	5.29041080537305e-08
AC105219.1	0.21174812515625	0.500858210184713	1.24205304749393	0.0178171490730459	0.0303064997445551
AC108047.1	0.33273244384375	0.695576156092357	1.06384593244057	0.00019877863336165	0.000582303275143513
LINC01322	0.028787182875	1.43543910227389	5.63992170295592	1.12983466799875e-15	9.86991284973194e-14
CHROMR	0.68264407575	1.64797689292994	1.27149054202043	2.65340300051405e-12	7.3752542491561e-11
AC104825.1	1.81723877971875	0.677052312872611	-1.42440878386457	2.07721418372275e-13	9.07297480961758e-12
LINC02613	1.0841717271875	0.217304780407643	-2.31880147291886	0.00640705096585868	0.0124774256866961
AL031123.2	0.1096701561875	0.338608979557325	1.62644924439865	4.29082739458225e-09	4.44718805387635e-08
AL353708.3	0.10074255978125	0.212774955863057	1.07865505786144	0.000434217476741414	0.00116203057780033
AC004471.1	0.1972362695	0.423228199834395	1.10151088662872	1.37625425627384e-05	5.61052985140969e-05
LINC01589	0.2790378855	0.771671053595541	1.46752497657724	0.00765714797224352	0.0145190357782797
AL079303.1	1.03856470978125	0.261563066251592	-1.98936036285076	7.67117237109592e-11	1.51320061449199e-09
AC109460.2	0.1388151155	0.375383188245223	1.43519936895483	1.27989601001046e-07	9.60314613645885e-07
MIR1-1HG	5.38222076796875	0.561113618321656	-3.26183673587097	0.000114622401152161	0.000359444093869469
AL162413.1	0.23730094815625	5.38380853350955	4.5038373336645	2.41472576146804e-09	2.81258057740516e-08
AL121899.1	2.0835446131875	0.831428308789809	-1.32537621624103	0.000217027762624856	0.000628969084573931
AP000238.1	0.16572809453125	0.339224301194267	1.0334213331191	0.0128128339106208	0.0227102838734627
AL135818.2	0.6947782850625	1.96768083185032	1.50187165777781	2.82918633107843e-09	3.203791558249e-08
AP003352.1	0.629703739	1.32295769853185	1.07102179349562	1.14172667950494e-05	4.84837405914771e-05
AC128709.2	0.0884748373125	0.508343834570064	2.52246553103575	0.00184812408027578	0.00423268867074397
AC025171.5	0.10228148128125	0.213152184993631	1.0593388847163	4.03332070163574e-05	0.000143811988865904
SLCO4A1-AS1	1.9470757335625	0.414083840426752	-2.23331419237909	0.0025018668086003	0.0055230742002133
HCG15	0.1417483926875	0.331184170719745	1.22430134316425	6.31489841916877e-06	2.84986006149203e-05
AC025171.1	0.69364483734375	1.72593594263376	1.31510985771962	3.18772841218137e-13	1.21830995253057e-11
AP000525.1	0.0425446765	0.324211557449045	2.92988499296798	1.32189379434735e-09	1.77656715438111e-08
AC083843.2	0.14589634975	0.344912649904459	1.24128725334881	4.80271585084431e-07	3.07524685109036e-06
AP000851.2	1.1849059279375	0.14717362155414	-3.00918150484073	0.00645137853480791	0.0125437773419238
AC053503.3	1.4301546555	0.325442559815287	-2.13569632985376	0.0198747070852753	0.0333884158863897
AC092115.3	0.1099107403125	0.293049334203822	1.41481118842713	0.000112114963274717	0.000352484833123339
LINC01050	0.03921371353125	0.271340632815287	2.79067492863246	4.41146879527324e-09	4.53380364421779e-08
GSEC	0.1439088136875	0.73844756816242	2.35934053668983	3.78755230261133e-16	4.2110695146306e-14
AC134312.5	0.04123153984375	0.977582217070064	4.56739779511878	2.47386479266792e-18	7.56384160358217e-16
AC128709.1	0.05688035446875	0.327485643242038	2.52542930049305	0.00119084384339113	0.00286130062960187
NR4A1AS	0.70510546803125	0.348915378729299	-1.01496188171942	0.00355146549056366	0.00748869361199889
FIRRE	0.025215891875	0.247770013805732	3.29659643807624	1.80963725510844e-11	4.17582332641061e-10
AC005387.1	0.10850836975	0.239341434471338	1.14126384727688	0.000164589823147078	0.00049702062644167
AL354836.1	1.78071663259375	3.90926484810191	1.13443937178543	4.04231241837332e-06	1.91618142932968e-05
