gene	HR	HR.95L	HR.95H	pvalue
DDX59-AS1	1.67132438290528	1.12945650810996	2.47315870317845	0.0102044787319294
AL162413.1	1.022594459236	1.00624976904587	1.03920463907456	0.00657120597015097
AC092115.3	1.6279123762298	1.01494516817969	2.61107573863828	0.0432276562626931
FIRRE	1.68579096686309	1.06071994738554	2.67920971125498	0.0271505444139072
AL132712.1	1.12045635894669	1.00889314538965	1.24435621159782	0.0335517417288282
SLBP-DT	0.574215740602568	0.34588848779142	0.953265946667147	0.0319506621944953
LINC01305	0.470931446304351	0.223826669995225	0.990840042087205	0.0472323221236067
LINC02321	1.22411176300499	1.03196000495089	1.45204232832503	0.0202832473153148
AC104041.1	1.27737867657581	1.01767552197599	1.60335612691396	0.0347677888851156
AC099850.3	1.03693550917524	1.0151977549143	1.05913871950917	0.000792661346268652
AL512274.1	0.95838192835573	0.92695681331071	0.990872398163142	0.0124536065405351
AC090246.1	1.32577188754368	1.01083216657099	1.73883573943202	0.0415678222664331
KLHL7-DT	1.71299615528428	1.22090374629981	2.40342929318702	0.00183878793305642
AC004943.2	1.37843507671457	1.04053632672447	1.82606143766112	0.0252919964872151
MIAT	0.812309044185099	0.66357320200861	0.994383108400974	0.0439516283030732
AC079921.2	0.478054750243588	0.274997063182184	0.831050126811917	0.00889871971266962
LINC02560	0.977833311186461	0.957641285818762	0.998451088758548	0.0352419043839532
LINC00524	1.09410707981899	1.00170865383589	1.19502841222948	0.0457288606124689
SLC16A1-AS1	1.94609516180519	1.01806630656968	3.72007830370363	0.0439962076921403
